,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Event.Year
64807,20100608X35931,0,ENG08IA051,2008-06-27,"Phoenix (PHX), AZ",United States,033264N,0112041W,PHX,Phoenix Sky Harbor Intl.,Non-Fatal,Minor,Airplane,N514AU,Boeing,737,0.0,2.0,Turbo Fan,121,Business,0.0,0.0,0.0,0.0,VMC,,"The failure of the MLG was due to cracking in the cylinder wall resulting from a fatigue mechanism which initiated at, and near the inner diameter (ID) surface, with propagation through the wall toward the outer diameter(OD) surface. Crack initiation was due to base metal damage which took the form of over tempered martensite (OTM) and chemical attack/pitting of the base metal.",25-09-2020,2008
65457,20081219X65313,0,ENG08IA042,2008-10-01,"Chicago, IL",United States,415321N,0873713W,MDW,Chicago Midway,Non-Fatal,Minor,Airplane,N551WN,Boeing,737,0.0,2.0,Turbo Fan,121,Business,0.0,0.0,0.0,133.0,VMC,,The right nose landing gear axle's failure from intergranular and fatigue cracking due to an earlier bearing failure.,03-11-2020,2008
65529,20100304X92243,0,ENG08WA050,2008-10-18,"Belgrade, Serbia, Suriname",Suriname,,,LYBE,"Nicola Tesla, Belgrade, Serbia",Non-Fatal,Minor,Airplane,D-AXLF,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,189.0,VMC,,,03-11-2020,2008
65570,20081219X65316,0,ENG08WA045,2008-10-28,"Denpasar, Bali, Indonesia",Indonesia,,,,Ngurah Rai Airport Bali,,Minor,Airplane,PK-GZI,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2008
66300,20091105X31033,0,DCA10WA008,2009-05-02,"Antalya, Turkey",Turkey,,,,,,Minor,,F-GFUF,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2009
66356,20090513X31333,0,CEN09IA294,2009-05-13,"Houston, TX",United States,293826N,0951626W,HOU,William P. Hobby Airport,Non-Fatal,Minor,Airplane,N371SW,Boeing,737,0.0,2.0,Turbo Fan,121,Business,0.0,2.0,0.0,51.0,VMC,,"The pilot's inadvertent application of excessive braking after touchdown, which caused the right wheels to lock and several tires to blow and resulted in a subsequent brake fire.",25-09-2020,2009
67151,20090909X82446,0,ENG09IA014,2009-09-08,"Los Angeles, CA",United States,335633N,1182426W,KLAX,Los Angeles International,Non-Fatal,Minor,Airplane,N670SW,Boeing,737,0.0,2.0,Turbo Fan,121,Business,0.0,0.0,0.0,142.0,VMC,,The failure of the right main landing gear inboard axle due to fatigue cracking as a result of fretting damage in one of the brake mounting bolt holes.,25-09-2020,2009
67261,20091028X00540,0,ENG10WA002,2009-09-29,"Birgi, Trapani, Sicily, Italy, Italy",Italy,,,LICT,Trapani Birgi,Non-Fatal,Minor,Airplane,EI-DWD,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,171.0,VMC,,,03-11-2020,2009
67271,20091005X53525,0,ENG09RA019,2009-10-02,"Kuching, Malaysia",Malaysia,,,WBGG,Kuching International Airport,Non-Fatal,Minor,Airplane,9M-MMR,Boeing,737,0.0,2.0,Turbo Fan,UNK,Business,0.0,0.0,0.0,149.0,VMC,,,03-11-2020,2009
67350,20091123X11730,0,ENG10WA004,2009-10-19,"Melbourne Airport, Australia",Australia,,,MEL,Melbourne Airport,,Minor,Airplane,VH-VUI,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2009
67399,20091123X21949,0,ENG10WA005,2009-10-30,"Jakarta, Indonesia",Indonesia,,,WIII,Soekarno-Hatta Airport,Non-Fatal,Minor,,PK-GGQ,Boeing,737,0.0,2.0,Turbo Fan,UNK,Business,0.0,0.0,0.0,56.0,VMC,,,03-11-2020,2009
67600,20100107X40353,0,DCA10WA019,2010-01-04,"Hahn, Germany",Germany,,,,"Hahn, Germany",Non-Fatal,Minor,Airplane,EI-DAK,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,5.0,0.0,148.0,VMC,,,03-11-2020,2010
67705,20100315X23818,0,DCA10WA037,2010-02-08,"Peshawar, Pakistan",Pakistan,,,,,,Minor,Airplane,AP-BIK,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2010
67723,20100305X52436,0,DCA10WA035,2010-02-13,"SURABAYA, Indonesia",Indonesia,,,,Juanda Airport,Non-Fatal,Minor,Airplane,PK-YTR,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,125.0,VMC,,<br /><br />,03-11-2020,2010
67783,20111122X95137,0,DCA12WA015,2010-03-01,"Brussels, Belgium",Belgium,,,,,Non-Fatal,Minor,Airplane,EIDYI,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,146.0,VMC,,<br /><br />,03-11-2020,2010
68271,20100628X25535,0,DCA10WA071,2010-06-06,"Amsterdam Schiphol IAP, Netherlands (the)",Netherlands,,,EHAM,Amsterdam Schiphol IAP,Non-Fatal,Minor,Airplane,CN-RMF,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,162.0,VMC,,,03-11-2020,2010
68559,20100824X84240,0,DCA10WA086,2010-07-22,"Taipei, Taiwan (Province of China)",Taiwan,,,,Taoyuan International,Non-Fatal,Minor,Airplane,B-18612,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,96.0,VMC,,,03-11-2020,2010
69184,20101115X24123,0,DCA11WA007,2010-11-04,"Puerto Vallerta, Mexico",Mexico,,,PVR,Licenciado Gustavo Díaz Ordaz,,Minor,Airplane,XA-UHY,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2010
69540,20110222X14949,0,DCA11WA028,2011-02-14,"Pekanbaru, Indonesia",Indonesia,,,WIBB,Pekanbaru,Non-Fatal,Minor,Airplane,PK-LFI,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,216.0,VMC,,<br /><br />,03-11-2020,2011
69548,20110222X15822,0,DCA11WA029,2011-02-15,"Pekanbaru, Indonesia",Indonesia,,,WIBB,Pekanbaru,Non-Fatal,Minor,Airplane,PK-LHH,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,226.0,VMC,,<br /><br />,03-11-2020,2011
69962,20110517X44217,0,DCA11WA058,2011-05-14,"Cuenca, Spain",Spain,,,,,,Minor,,HC-CJB,Boeing,737,0.0,2.0,Turbo Fan,UNK,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2011
70770,20111005X13055,0,DCA11WA109,2011-09-10,"Phuket, Thailand",Thailand,,,,,Non-Fatal,Minor,,B-5088,Boeing,737,0.0,2.0,Turbo Fan,129,Business,0.0,0.0,0.0,136.0,VMC,,,03-11-2020,2011
70924,20120731X03739,0,ENG12RA028,2011-10-10,"Antalya, Turkey",Turkey,,,LTAI,"Antalya, Turkey",,Minor,Airplane,TC-SKF,Boeing,737,0.0,2.0,Turbo Fan,129,Business,0.0,0.0,0.0,0.0,VMC,,,25-09-2020,2011
71152,20111207X90134,0,DCA12WA018,2011-12-04,"Seoul, South Korea",South Korea,,,,,,Minor,Airplane,HL-7796,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,25-09-2020,2011
71249,20120117X54454,0,DCA12WA025,2012-01-09,"Fort Nelson, Canada",Canada,,,,,Non-Fatal,Minor,Airplane,C-GDEJ,Boeing,737,0.0,2.0,Turbo Fan,UNK,Business,0.0,0.0,0.0,118.0,VMC,,,25-09-2020,2012
71325,20120207X35615,0,DCA12WA034,2012-02-06,"Brussels, Belgium",Belgium,,,,,Non-Fatal,Minor,,EI-DCK,Boeing,737,0.0,2.0,Turbo Fan,121,Business,0.0,0.0,0.0,175.0,VMC,,,03-11-2020,2012
71647,20130110X10345,0,DCA12WA161,2012-04-22,"Karachi, Pakistan",Pakistan,,,,,Non-Fatal,Minor,Airplane,AP-BJN,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,171.0,VMC,,,03-11-2020,2012
72565,20120907X45709,0,DCA12RA143,2012-09-05,"Mexico City, Mexico",Mexico,,,MEX,Mexico Intl,,Minor,Airplane,XA-JOY,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2012
72613,20120915X93925,0,DCA12WA147,2012-09-13,"Riyadh, Saudi Arabia",Saudi Arabia,,,,,,Minor,,CN-ROP,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2012
72802,20121019X60625,0,DCA13WA005,2012-10-19,"Glasgow, United Kingdom",United Kingdom,,,,,Non-Fatal,Minor,,G-GDFJ,Boeing,737,0.0,2.0,Turbo Fan,129,Business,0.0,0.0,0.0,189.0,VMC,,,03-11-2020,2012
72804,20121023X21517,1,DCA13WA007,2012-10-19,"Pontianak, Indonesia",Indonesia,,,WIOO,Pontianak,Non-Fatal,Minor,Airplane,PK-CKN,Boeing,737,1.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,160.0,IMC,,,03-11-2020,2012
72834,20121120X34219,0,DCA13WA023,2012-10-24,"Casablanca, Macao",Macao,,,,Casablanca,,Minor,,CN-ROA,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2012
72857,20121212X13756,0,DCA13WA029,2012-11-01,"Pontianak, Indonesia",Indonesia,,,,,,Minor,Airplane,PK-LIF,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,25-09-2020,2012
73156,20130213X92000,0,DCA13WA054,2013-02-03,"Seoul, South Korea",South Korea,,,,Gimpo,Non-Fatal,Minor,Airplane,HL7780,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,193.0,VMC,,,25-09-2020,2013
73180,20130211X85637,1,DCA13WA053,2013-02-11,"Muscat, Mauritius",Mauritius,,,,,Non-Fatal,Minor,,AP-BEH,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,107.0,VMC,,,03-11-2020,2013
73263,20130307X30024,0,DCA13WA064,2013-03-06,"Keflavik, Iceland",Iceland,,,,Keflavik,,Minor,,OY-PSE,Boeing,737,0.0,2.0,Turbo Fan,,Business,0.0,0.0,0.0,0.0,VMC,,,25-09-2020,2013
73269,20131030X35610,0,DCA13WA167,2013-03-08,"Quetta, Pakistan",Pakistan,,,,,,Minor,Airplane,AP-BFT,Boeing,737,0.0,2.0,Turbo Fan,,Business,0.0,0.0,0.0,0.0,VMC,,,03-11-2020,2013
73348,20130517X70723,0,DCA13WA093,2013-03-27,"Valencian, Spain",Spain,,,,,Non-Fatal,Minor,,EI-DLE,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,176.0,VMC,,,03-11-2020,2013
74182,20131107X31340,0,DCA13WA170,2013-09-01,"Dar Es Salaam, Tanzania, United Republic of",Tanzania,061350S,0391340E,,,,Minor,Airplane,A40-BB,Boeing,737,0.0,2.0,Turbo Fan,NUSC,Business,0.0,0.0,0.0,0.0,VMC,,,25-09-2020,2013
